time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-04-02T03:55:23.000Z,32.85559007897973,-117.2314864397049,0.0,93,03:55:23.000Z,0.0,0,0.0
2021-04-02T03:55:29.000Z,32.85538866184652,-117.23197024315596,2.059999942779541,93,03:55:29.000Z,2.059999942779541,6,0.7680366453329722
2021-04-02T03:55:43.000Z,32.85527307540178,-117.23204291425645,17.68000030517578,90,03:55:43.000Z,15.62000036239624,14,2.4958529150485993
2021-04-02T03:55:44.000Z,32.85526561550796,-117.23204878158867,18.670000076293945,90,03:55:44.000Z,0.9899997711181641,1,2.214629487991333
2021-04-02T03:55:51.000Z,32.85522077232599,-117.23209287039936,25.1200008392334,87,03:55:51.000Z,6.450000762939453,7,2.061235958099365
2021-04-02T03:55:56.000Z,32.85518313758075,-117.23212983459234,30.520000457763672,86,03:55:56.000Z,5.399999618530273,5,2.4159598293304443
2021-04-02T03:56:00.000Z,32.855150531977415,-117.23215598613024,34.88999938964844,83,03:56:00.000Z,4.369998931884766,4,2.4439219026565553
2021-04-02T03:56:19.000Z,32.854982390999794,-117.23225514404476,55.75,87,03:56:19.000Z,20.860000610351562,19,2.455990598176655
2021-04-02T03:56:38.000Z,32.85483746789396,-117.23238841630518,76.16999816894531,86,03:56:38.000Z,20.419998168945312,19,2.404186100206877
2021-04-02T03:56:58.000Z,32.854692712426186,-117.23253266885877,97.2300033569336,87,03:56:58.000Z,21.06000518798828,20,2.3555615802764893
2021-04-02T03:57:18.000Z,32.854540245607495,-117.23265227861702,117.55999755859375,88,03:57:18.000Z,20.329994201660156,20,2.2739098514556884
2021-04-02T03:57:37.000Z,32.8543914668262,-117.23278010264039,137.97999572753906,88,03:57:37.000Z,20.419998168945312,19,2.404186100206877
2021-04-02T03:57:56.000Z,32.854262720793486,-117.2329299710691,158.02999877929688,87,03:57:56.000Z,20.050003051757812,19,2.3606240435148544
2021-04-02T03:58:17.000Z,32.854102458804846,-117.23305293358862,179.25999450683594,88,03:58:17.000Z,21.229995727539062,21,2.261500021071661
2021-04-02T03:58:35.000Z,32.85394010134041,-117.23316315561533,200.08999633789062,88,03:58:35.000Z,20.830001831054688,18,2.5887063386705185
2021-04-02T03:58:53.000Z,32.85377724096179,-117.23326717503369,220.60000610351562,87,03:58:53.000Z,20.510009765625,18,2.548938435872396
2021-04-02T03:59:12.000Z,32.85360490903258,-117.23335577175021,241.5,88,03:59:12.000Z,20.899993896484375,19,2.460699281391345
2021-04-02T03:59:17.000Z,32.853565933182836,-117.2333877068013,246.75999450683594,85,03:59:17.000Z,5.2599945068359375,5,2.353321542358399
2021-04-02T03:59:26.000Z,32.85351094789803,-117.23346599377692,256.30999755859375,88,03:59:26.000Z,9.550003051757812,9,2.373706314086914
2021-04-02T03:59:30.000Z,32.85348856821656,-117.23349826410413,260.2200012207031,88,03:59:30.000Z,3.910003662109375,4,2.186669548034668
2021-04-02T03:59:44.000Z,32.85342595539987,-117.2336290217936,274.3500061035156,91,03:59:44.000Z,14.1300048828125,14,2.257772923060826
2021-04-02T04:00:02.000Z,32.85336485132575,-117.23384351469576,295.2699890136719,90,04:00:02.000Z,20.91998291015625,18,2.599888987223307
2021-04-02T04:00:03.000Z,32.8533641807735,-117.23385600373149,296.44000244140625,86,04:00:03.000Z,1.170013427734375,1,2.617320037841797
2021-04-02T04:00:04.000Z,32.85336384549737,-117.23386698402464,297.4599914550781,83,04:00:04.000Z,1.019989013671875,1,2.2817154235839845
2021-04-02T04:00:05.000Z,32.85336057655513,-117.2338779643178,298.54998779296875,83,04:00:05.000Z,1.089996337890625,1,2.4383218078613282
2021-04-02T04:00:08.000Z,32.8533501829952,-117.2339144255966,302.04998779296875,90,04:00:08.000Z,3.5,3,2.6098333333333334
2021-04-02T04:00:10.000Z,32.85334909334779,-117.23393730819225,304.17999267578125,94,04:00:10.000Z,2.1300048828125,2,2.3824104614257813
2021-04-02T04:00:11.000Z,32.85334968008101,-117.23394862376153,305.239990234375,97,04:00:11.000Z,1.05999755859375,1,2.3712145385742187
2021-04-02T04:00:12.000Z,32.85334976390004,-117.23395960405469,306.2699890136719,97,04:00:12.000Z,1.029998779296875,1,2.3041072692871096
2021-04-02T04:00:19.000Z,32.8533520270139,-117.23403763957322,313.5899963378906,92,04:00:19.000Z,7.32000732421875,7,2.3392651977539063
2021-04-02T04:00:24.000Z,32.85335244610906,-117.2340975701809,319.1700134277344,96,04:00:24.000Z,5.58001708984375,5,2.4964996459960935
2021-04-02T04:00:29.000Z,32.85336082801223,-117.23415523767471,324.6300048828125,99,04:00:29.000Z,5.459991455078125,5,2.442800177001953
2021-04-02T04:00:40.000Z,32.8533604927361,-117.2342646215111,334.75,95,04:00:40.000Z,10.1199951171875,11,2.0580390070134946
2021-04-02T04:00:52.000Z,32.853348003700376,-117.23439202643931,346.7799987792969,92,04:00:52.000Z,12.029998779296875,12,2.2425922724405924
2021-04-02T04:01:10.000Z,32.85337407141924,-117.2346169129014,368.0400085449219,90,04:01:10.000Z,21.260009765625,18,2.642146769205729
2021-04-02T04:01:29.000Z,32.85338538698852,-117.23484045825899,389.0299987792969,91,04:01:29.000Z,20.989990234375,19,2.4712951660156253
2021-04-02T04:01:36.000Z,32.853387063369155,-117.23491338081658,395.8699951171875,92,04:01:36.000Z,6.839996337890625,7,2.185867401123047
2021-04-02T04:01:40.000Z,32.853384129703045,-117.23495604470372,399.8699951171875,91,04:01:40.000Z,4.0,4,2.237
2021-04-02T04:02:00.000Z,32.85337658599019,-117.2351676877588,419.7200012207031,88,04:02:00.000Z,19.850006103515625,20,2.2202231826782226
2021-04-02T04:02:08.000Z,32.85337708890438,-117.23526340909302,428.70001220703125,92,04:02:08.000Z,8.980010986328125,8,2.511035572052002
2021-04-02T04:02:13.000Z,32.85337801091373,-117.23532484844327,434.45001220703125,97,04:02:13.000Z,5.75,5,2.57255
2021-04-02T04:02:17.000Z,32.85340106114745,-117.2353748884052,439.69000244140625,102,04:02:17.000Z,5.239990234375,4,2.9304645385742187
2021-04-02T04:02:20.000Z,32.85342981107533,-117.23540254868567,443.739990234375,105,04:02:20.000Z,4.04998779296875,3,3.019940897623698
2021-04-02T04:02:25.000Z,32.85347633063793,-117.23542618565261,449.2900085449219,99,04:02:25.000Z,5.550018310546875,5,2.483078192138672
2021-04-02T04:02:48.000Z,32.85365561954677,-117.23542585037649,469.4700012207031,100,04:02:48.000Z,20.17999267578125,23,1.9627236354662025
